city_code_external,city_name_local_language,city_name_English,province_code,province_name_local_language,province_name_English,ISO_country_code,country_name_local_language,country_name_English
533100000000,德宏傣族景颇族自治州,,530000000000,云南省,,CN,中国,China
533300000000,怒江傈僳族自治州,,530000000000,云南省,,CN,中国,China
533400000000,迪庆藏族自治州,,530000000000,云南省,,CN,中国,China
540100000000,拉萨市,,540000000000,西藏自治区,,CN,中国,China
540200000000,日喀则市,,540000000000,西藏自治区,,CN,中国,China
540300000000,昌都市,,540000000000,西藏自治区,,CN,中国,China
540400000000,林芝市,,540000000000,西藏自治区,,CN,中国,China
540500000000,山南市,,540000000000,西藏自治区,,CN,中国,China
540600000000,那曲市,,540000000000,西藏自治区,,CN,中国,China
542500000000,阿里地区,,540000000000,西藏自治区,,CN,中国,China
610100000000,西安市,,610000000000,陕西省,,CN,中国,China
610200000000,铜川市,,610000000000,陕西省,,CN,中国,China
610300000000,宝鸡市,,610000000000,陕西省,,CN,中国,China
610400000000,咸阳市,,610000000000,陕西省,,CN,中国,China
610500000000,渭南市,,610000000000,陕西省,,CN,中国,China
610600000000,延安市,,610000000000,陕西省,,CN,中国,China
610700000000,汉中市,,610000000000,陕西省,,CN,中国,China
610800000000,榆林市,,610000000000,陕西省,,CN,中国,China
610900000000,安康市,,610000000000,陕西省,,CN,中国,China
611000000000,商洛市,,610000000000,陕西省,,CN,中国,China
620100000000,兰州市,,620000000000,甘肃省,,CN,中国,China
620200000000,嘉峪关市,,620000000000,甘肃省,,CN,中国,China
620300000000,金昌市,,620000000000,甘肃省,,CN,中国,China
620400000000,白银市,,620000000000,甘肃省,,CN,中国,China
620500000000,天水市,,620000000000,甘肃省,,CN,中国,China
620600000000,武威市,,620000000000,甘肃省,,CN,中国,China
620700000000,张掖市,,620000000000,甘肃省,,CN,中国,China
620800000000,平凉市,,620000000000,甘肃省,,CN,中国,China
620900000000,酒泉市,,620000000000,甘肃省,,CN,中国,China
621000000000,庆阳市,,620000000000,甘肃省,,CN,中国,China
621100000000,定西市,,620000000000,甘肃省,,CN,中国,China
621200000000,陇南市,,620000000000,甘肃省,,CN,中国,China
622900000000,临夏回族自治州,,620000000000,甘肃省,,CN,中国,China
623000000000,甘南藏族自治州,,620000000000,甘肃省,,CN,中国,China
630100000000,西宁市,,630000000000,青海省,,CN,中国,China
630200000000,海东市,,630000000000,青海省,,CN,中国,China
632200000000,海北藏族自治州,,630000000000,青海省,,CN,中国,China
632300000000,黄南藏族自治州,,630000000000,青海省,,CN,中国,China
632500000000,海南藏族自治州,,630000000000,青海省,,CN,中国,China
632600000000,果洛藏族自治州,,630000000000,青海省,,CN,中国,China
632700000000,玉树藏族自治州,,630000000000,青海省,,CN,中国,China
632800000000,海西蒙古族藏族自治州,,630000000000,青海省,,CN,中国,China
640100000000,银川市,,640000000000,宁夏回族自治区,,CN,中国,China
640200000000,石嘴山市,,640000000000,宁夏回族自治区,,CN,中国,China
640300000000,吴忠市,,640000000000,宁夏回族自治区,,CN,中国,China
640400000000,固原市,,640000000000,宁夏回族自治区,,CN,中国,China
640500000000,中卫市,,640000000000,宁夏回族自治区,,CN,中国,China
